"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"predicted_mean[2]",0.0112213219059105,1.42864029124386e-05,0.00480576136123508,0.00480686813118597,0.00833266768145612,0.0104205663696504,0.0130404211569687,0.0225284477382187,113156.267676462,1.00002349554346
"predicted_mean[3]",0.0108940542334643,1.42315000703275e-05,0.00479198134314642,0.00462326179669933,0.00804248703360386,0.0100810180586369,0.0126638548906904,0.0221092173379914,113378.022652761,1.0000273073442
"predicted_mean[4]",0.0106012795163085,1.50624843348431e-05,0.00492515225195352,0.0044015647613963,0.00774059340684882,0.00974908084510109,0.0123210339510388,0.0219614015521781,106916.837537981,1.00003145688385
"predicted_mean[5]",0.0103435801915233,1.72358449807848e-05,0.00527125828810333,0.00417078326684713,0.00743169099074947,0.00942015334810154,0.0120078856898484,0.0220090637522247,93532.6921828574,1.00003606765453
"predicted_mean[6]",0.0101221112931511,2.11629383996837e-05,0.00592238250368543,0.00392090841976239,0.00712504146327881,0.00910773209180525,0.0117083775679798,0.022165702066129,78314.2820878975,1.0000407988075
"predicted_mean[7]",0.00993826009283672,2.71674112390697e-05,0.00696848996966836,0.00365694505123818,0.00682176907895478,0.00879985918702108,0.0114304908638975,0.0225566187676347,65793.1750178682,1.00004498590994
"predicted_mean[8]",0.00979312152370775,3.52968279865374e-05,0.00845148491969268,0.00339345202560178,0.00652293150607224,0.00849859591182115,0.0111726853862598,0.0230800361296979,57331.6821945476,1.00004821862117
"predicted_mean[9]",0.00968700111461177,4.53472087469826e-05,0.0103413736276678,0.00314285745441823,0.00623049598266775,0.00821031420304908,0.0109248119410793,0.0236512094857496,52006.2259086249,1.00005055769762
"predicted_mean[10]",0.00961921928907757,5.69015005342376e-05,0.0125548497034627,0.00289631420230653,0.00595032820753795,0.00792774013569115,0.0106886827325495,0.0244369293213529,48682.8054806776,1.00005227006704
"predicted_mean[11]",0.0095882785302211,6.95163352154724e-05,0.0149940599327132,0.00266035061707921,0.00567736003295188,0.00766313507663608,0.0104704302856654,0.0253808157407471,46522.6824044221,1.00005360100571
"predicted_mean[12]",0.00959219683024042,8.28076517819824e-05,0.0175739650262723,0.00244032250526455,0.00541136395801451,0.00740438384243024,0.010252261487411,0.0264172263857215,45040.0202334336,1.00005473667846
"predicted_mean[13]",0.00962882097311529,9.64814120775255e-05,0.0202296161974989,0.00222441011405201,0.00515687246741753,0.00715000164845856,0.0100386137899534,0.0275474578077049,43963.0671911447,1.00005581425583
"predicted_mean[14]",0.00969607666223708,0.000110325343371112,0.0229140875859521,0.00202723150115422,0.0049076788300444,0.00690788368735064,0.00983435682339628,0.0287478366030271,43137.4592445425,1.00005690959166
"predicted_mean[15]",0.00979215075452998,0.00012419788793989,0.0255965680375485,0.00184304991935838,0.00467209028770276,0.0066712681791956,0.00964081514774829,0.0301855654475326,42475.1633708409,1.00005804212592
"predicted_mean[16]",0.00991557173086116,0.000138020625799001,0.0282614814116506,0.00167307773108769,0.00445137060655592,0.00644097280437737,0.00946150244380841,0.0318156450927676,41927.7793853058,1.00005921092466
"predicted_mean[17]",0.0100651713287798,0.000151766212033321,0.0309060209981925,0.00151397467632836,0.00423798741780192,0.00622205306936747,0.00928535261588899,0.0334412519866305,41470.1877379067,1.00006042971768
"predicted_mean[18]",0.0102399654932786,0.000165442576161055,0.0335355215483172,0.00136649564710455,0.00403415455808764,0.0060101144304426,0.00910550466840279,0.0352938168797808,41088.0529603213,1.00006173845669
"predicted_mean[19]",0.0104390199650121,0.000179079619914277,0.036158319412672,0.00123792803700476,0.00383816235458577,0.00580540662636591,0.00893711046021993,0.0372175648777652,40768.4449122139,1.00006319543549
"predicted_mean[20]",0.0106613496583191,0.000192677116251725,0.0387818107628754,0.00111850494267247,0.00365046169294594,0.00560662957481668,0.00877302455781741,0.0392153799789939,40513.1386491416,1.00006486335214
"predicted_mean[21]",0.010905869287748,0.000206237839996916,0.0414103739228525,0.00100432125632133,0.00346954026466951,0.00541752534678431,0.00861280762114197,0.0414159132249405,40316.3866038549,1.00006679806529
"predicted_mean_new_trial[1]",0.0172074549786694,6.94719283860497e-05,0.0283748656808213,0.00151618763828967,0.00621526321317077,0.0108262737043543,0.0187856938542888,0.0717320121497206,166820.308715926,1.00000158239213
"predicted_mean_new_trial[2]",0.0169121942822801,7.04978090430168e-05,0.0286007322284388,0.00143825647040945,0.00596037400469453,0.0104813959171079,0.0183832836295062,0.0713867147598132,164589.855464639,1.00000300440066
"predicted_mean_new_trial[3]",0.0168149845255806,7.47998209770727e-05,0.029783803073226,0.00132930897223889,0.00568060719292013,0.0101287340838676,0.0180374320438998,0.0726377807053145,158547.42266181,1.00000695039683
"predicted_mean_new_trial[4]",0.0169215749340221,8.41151605237641e-05,0.0322302596803105,0.00120818110428053,0.00539330861961431,0.00979296941703583,0.0177697618845469,0.0752334334387338,146817.915314718,1.00001277778197
"predicted_mean_new_trial[5]",0.0172209418060293,9.81037591736574e-05,0.0358223693513348,0.00107772306302617,0.00510359994289009,0.0094777525225604,0.0175362261968653,0.0793790700260438,133332.897363666,1.00001895171694
"predicted_mean_new_trial[6]",0.0177028360055163,0.000115408775280347,0.040323173870056,0.00095318621710034,0.00482282436193843,0.00915863024789255,0.0173526458415749,0.0845438689387551,122076.410883603,1.00002530529734
"predicted_mean_new_trial[7]",0.0183545013705874,0.000135123548452387,0.045557846066056,0.000838754494282068,0.00455117841007987,0.00885040962910694,0.0172008973152828,0.0910744770297777,113674.821891606,1.00003067165985
"predicted_mean_new_trial[8]",0.0191567330277311,0.000156163974423726,0.0512736369327925,0.000725855376980211,0.00428146296735501,0.00854624702886596,0.0170748373276775,0.0982008981536966,107801.931163838,1.00003471319842
"predicted_mean_new_trial[9]",0.0200908455471111,0.000177632453222693,0.0572320620678496,0.000622662768426356,0.00402184083649873,0.00825234165348492,0.0169781904106782,0.107720616712763,103808.797456514,1.00003752697476
"predicted_mean_new_trial[10]",0.021142364318579,0.000199205175415167,0.0632989828985495,0.000532139179727488,0.00377733444031275,0.00797152724320309,0.0168817153004769,0.118676060106713,100969.970362837,1.00003947121477
"predicted_mean_new_trial[11]",0.0222992232604979,0.000220765221834773,0.0694160121837709,0.000450748232269475,0.00353945771919502,0.0077001455814702,0.0167860819328473,0.131900851793029,98868.5136698354,1.00004102553292
"predicted_mean_new_trial[12]",0.0235494320591065,0.000242362904430106,0.0755472000187243,0.000377692396726564,0.00332053860521187,0.007433745712032,0.0167007016898153,0.146077715255692,97163.7905187853,1.00004246566629
"predicted_mean_new_trial[13]",0.0248805155665099,0.0002638974169068,0.081651762251706,0.000316568678710502,0.00311243637373095,0.00717961293072082,0.0166014373990313,0.162184847235846,95732.81869316,1.00004384484336
"predicted_mean_new_trial[14]",0.0262803952263125,0.000285226792830627,0.0876839795448307,0.000262878182167848,0.00291412942627741,0.0069324658014427,0.0165697693498919,0.181523237128711,94506.1055438696,1.00004514062442
"predicted_mean_new_trial[15]",0.0277385044429768,0.000306222006380802,0.0936050781740534,0.000218124940205656,0.00272786041436044,0.00669827600597923,0.0165132438475479,0.203557401228381,93438.5359962439,1.00004635124603
"predicted_mean_new_trial[16]",0.0292462660550376,0.000326795638312234,0.0993915560487644,0.000179957239117158,0.00255493126058644,0.00646188147095753,0.0164631830418038,0.230047368138509,92501.0104458132,1.00004750376745
"predicted_mean_new_trial[17]",0.0307968798774373,0.000346900042519695,0.105034799650176,0.000146438991945573,0.002386118977181,0.00625153926924685,0.0164098408541846,0.257215358776938,91676.4349916252,1.00004862825831
"predicted_mean_new_trial[18]",0.0323848210814785,0.000366513347329769,0.110536066040741,0.00011940047363039,0.00223081931907528,0.00602562842958384,0.0163696737840679,0.287469830233835,90955.3853446711,1.00004973974082
"predicted_mean_new_trial[19]",0.0340053685639806,0.000385627472575345,0.115901616659932,9.74051454360629e-05,0.00208559082496822,0.00582150295011412,0.0163079929185613,0.321352356620701,90332.2973745982,1.00005083444441
"predicted_mean_new_trial[20]",0.0356542579127115,0.000404241267740375,0.121139511038659,7.94464981757338e-05,0.0019474726992817,0.00562041436929969,0.0162761181544788,0.358764920246596,89802.8951918526,1.0000518952742
"predicted_mean_new_trial[21]",0.037327450071727,0.000422356737249856,0.126257657683609,6.46588395802053e-05,0.00182093110663072,0.00542258632312159,0.0162358573444788,0.398984776665475,89362.7661786026,1.00005290110677
"lp__",385813.904616303,0.0264579863046175,4.75002354728059,385803.460425228,385810.96033114,385814.328281473,385817.312187375,385821.933556314,32231.3095006324,1.00003663806575
